item_id,manufacturer,part_name,sku,supplier_url,unit_price_usd,quantity,extended_price_usd,published_mass_g,voltage_or_power,interface,purpose,gate,status,date_checked,substitute,notes
CF-STEM-BRUSHLESS,Bitcraze,STEM bundle - Crazyflie 2.1 Brushless,900000099,https://store.bitcraze.io/products/stem-bundle-crazyflie-2-1-brushless,550.00,1,550.00,,"Includes 350mAh 1S platform battery","Crazyradio 2.0; Crazyflie deck bus","Reference aircraft + Flow deck v2 + radio",G1,proposed,2026-08-24,"Standalone brushless + Flow deck + Crazyradio","Verify live stock and exact bundle contents before purchase"
CF-BUZZER,Bitcraze,Buzzer deck,102990228,https://store.bitcraze.io/products/buzzer-deck,11.00,1,11.00,1.8,"Piezo; current TBD","Crazyflie deck bus","Lightweight audible cue",G1,proposed,2026-08-24,"Custom low-power audio on prototyping deck","Use conservative duration; not a siren or harmful audio payload"
CF-COLOR-LED-TOP,Bitcraze,Color LED deck - top mounted,100083467,https://store.bitcraze.io/products/color-led-deck-top-mounted,23.00,1,23.00,3.5,"WRGB up to ~300mA per channel","Crazyflie deck bus / I2C","Visible cue while Flow deck remains below",G1,proposed,2026-08-24,"Bottom version after Flow-deck changes or custom LED deck","Verify stack compatibility; begin below maximum brightness"
CF-PROTO,Bitcraze,Prototyping deck,114990115,https://store.bitcraze.io/products/prototyping-deck,5.50,1,5.50,1.5,"Expansion power rails; limits per platform docs","Crazyflie 20-pin expansion port","Later low-mass circuit experiments",G1,proposed,2026-08-24,Breakout deck,"Do not add to flight stack until a defined circuit requires it"
CF-LONG-PINS,Bitcraze,Long Pins (19+2+4mm),100061450,https://store.bitcraze.io/products/long-pins-1924,2.00,1,2.00,0.6,Passive,Mechanical/deck stack,"Permit two top decks and one bottom deck",G1,proposed,2026-08-24,"Other official pin length after stack drawing","Confirm exact stack height and connector engagement"
CF-BATT-350,Bitcraze,350mAh LiPo battery,114993131,https://store.bitcraze.io/products/350mah-lipo-battery,12.00,2,24.00,9.1,"3.7V nominal; 350mAh; 15C continuous / 30C burst","Molex 51005-2P","Battery rotation and repeatability",G1,proposed,2026-08-24,"Official compatible 1S battery","Observe shipping limit; never charge unattended"
CF-CHARGER-500,Bitcraze,500mA LiPo USB charger,102990463,https://store.bitcraze.io/products/500ma-lipo-usb-charger,6.00,1,6.00,,"500mA single-cell LiPo charger",Molex-compatible battery connector,"Charge spare battery outside aircraft",G1,proposed,2026-08-24,"Platform onboard charger","Use only per manufacturer instructions"
CF-PROP-55-35,Bitcraze,Propeller 55-35 pack,,https://store.bitcraze.io/collections/spare-parts-crazyflie-brushless,6.00,2,12.00,,Passive,Motor shaft,"Recover from ordinary propeller damage",G1,proposed,2026-08-24,"Official alternate color pack","Record color and exact SKU at order time"
CF-GUARD-LEGS,Bitcraze,Crazyflie 2.1 Brushless legs and guards,114993546,https://store.bitcraze.io/products/crazyflie-2-1-brushless-5-x-legs-5-x-guards,10.00,1,10.00,"1.34g per guard; 0.33g per leg",Passive,Frame mounting,"Recover from ordinary guard/leg damage",G1,proposed,2026-08-24,"3D-printed test replacements only after material review","Use guards for flight testing"
GEN-LIPO-SAFE,Local supplier,LiPo-safe charging and storage solution,,LOCAL_TBD,,1,,,Passive,,"Battery handling risk control",G1,required-local,2026-08-24,,"Select for small 1S cells and follow local/manufacturer safety guidance"
GEN-SCALE,Local supplier,Digital scale readable to 0.1g,,LOCAL_TBD,,1,,,Battery or USB power,,"Measure every flown configuration",G1,required-local,2026-08-24,,"Do not rely only on published masses"
CF-DEBUG,Bitcraze,Debug adapter,114990118,https://store.bitcraze.io/products/debug-adapter,35.00,1,35.00,,Passive,JTAG/SWD,"Firmware-level diagnosis if stock path fails",G2,deferred,2026-08-24,"Use logs and wireless update first","Do not buy until a defined debugging need exists"
CF-MULTIRANGER,Bitcraze,Multi-ranger deck,,https://www.bitcraze.io/multi-ranger-deck/,,1,,2.3,"Five eye-safe ToF sensors",Crazyflie deck bus,"Range sensing research",G5,deferred,2026-08-24,,"Provides data only; no collision avoidance by default"
CF-LIGHTHOUSE,Bitcraze,Lighthouse positioning system bundle,,https://store.bitcraze.io/products/lighthouse-explorer-bundle-crazyflie-2-1-brushless,1050.00,1,1050.00,,External base stations + deck,Crazyflie deck bus,"High-repeatability indoor positioning",G5,deferred,2026-08-24,"Flow deck first","Do not buy until repeatability limits justify it"
CF-AI-DECK,Bitcraze,AI deck 1.1,,https://store.bitcraze.io/products/the-ai-bundle-crazyflie-2-1-brushless,,1,,,TBD,Crazyflie deck bus,"Later vision research",G7,deferred,2026-08-24,"Off-aircraft camera or phone recording","Not required for user-triggered cue/flight experiments"
