configuration_id,component,quantity,mass_each_g,total_mass_g,mass_basis,nominal_voltage_v,peak_current_a,average_current_a,power_basis,status,notes
BASE-GUARDED,Crazyflie 2.1 Brushless with guards and stock battery,1,37.0,37.0,manufacturer-published,,,,platform specification,published,"Treat as baseline aircraft mass, not payload"
PAYLOAD-LIMIT,Manufacturer recommended stock payload limit,1,40.0,40.0,manufacturer-published,,,,platform specification,published,"Recommended payload is not a guarantee of acceptable endurance or control"
NAV-FLOW,Flow deck v2,1,1.6,1.6,manufacturer-published,,,,TBD,published,"Mounted underneath; optical flow works best on matte surfaces"
CUE-LED-TOP,Color LED deck top mounted with diffuser,1,3.5,3.5,manufacturer-published,,1.2,,"Up to ~300mA per WRGB channel; worst-case sum is a planning upper bound only",planning,"Do not command all channels at maximum until bench voltage/current behavior is measured"
CUE-BUZZER,Buzzer deck,1,1.8,1.8,manufacturer-published,,,,TBD,published,"Measure actual current and useful audible setting during G2/G4"
STACK-PINS,Long deck pins,1,0.6,0.6,manufacturer-published,,,,passive,published,"Exact stack arrangement must be drawn and inspected"
PROTO-DECK,Prototyping deck,1,1.5,1.5,manufacturer-published,,,,depends on attached circuit,published,"Not part of initial flown cue stack unless a defined circuit requires it"
BATTERY-SPARE,350mAh 1S battery,1,9.1,9.1,manufacturer-published,3.7,,,"350mAh; 15C continuous / 30C burst",published,"Stock aircraft baseline is assumed to include one battery; do not add this mass twice"
STACK-NAV-CUES,Flow + LED + buzzer + long pins,1,,7.5,calculated,,,,sum of published components,planning,"Estimated all-up mass: 44.5g including guarded aircraft baseline"
STACK-NAV-CUES-PROTO,Flow + LED + buzzer + pins + empty prototyping deck,1,,9.0,calculated,,,,sum of published components,planning,"Estimated all-up mass: 46.0g; only use when prototype deck is needed"
MARGIN-NAV-CUES,Remaining published payload margin after navigation/cue stack,1,,32.5,calculated,,,,40g recommended payload minus 7.5g stack,planning,"Not a design target; preserve margin for endurance and controllability"
MEASURE-ACTUAL-BASE,Actual guarded aircraft mass on founder scale,1,,,,,,,,required-measurement,"Enter after receipt before first flight"
MEASURE-ACTUAL-STACK,Actual aircraft mass with Flow + LED + buzzer + pins,1,,,,,,,,required-measurement,"Enter before G4 flight"
MEASURE-BATTERY-VOLTAGE,Measured battery voltage before and after each run,1,,,,3.7,,,,required-measurement,"Log actual values per battery identifier"
MEASURE-ENDURANCE,Measured hover endurance for each configuration,1,,,,,,,,required-measurement,"Report method, cutoff condition, start/end voltage, and environment"
MEASURE-LED-CURRENT,Measured LED-deck current at each test setting,1,,,,,,TBD,bench measurement,required-measurement,"Use safe measurement method and upstream electrical limits"
MEASURE-BUZZER-CURRENT,Measured buzzer-deck current at test setting,1,,,,,,TBD,bench measurement,required-measurement,"Record tone, duration, and duty cycle"
